generation,agent_id,parent_id,fitness,h_x,c_x,i_x_seed,h_dezorg
16,base_gen14_154,base_gen14_154,0.44884260296447764,6.7871533122560725,0.5307692307692308,0.9190378954708842,0.8495355700086682
16,base_gen15_163,base_gen15_163,0.4486223923546532,6.682848852224151,0.543459174714662,0.9177289997715454,0.8663992997275903
16,base_gen15_164,base_gen15_164,0.45268191533043256,6.706931706559988,0.5507372072853426,0.9218016425597824,0.8672003406753069
16,base_gen15_166,base_gen15_166,0.4559690600384185,6.6629672132653734,0.5561497326203209,0.9248289059828638,0.8664515636955484
16,base_gen16_170,base_gen11_129,0.44986962630101623,6.780957430996029,0.5342465753424658,0.9193121293671905,0.8503020549265936
16,base_gen16_172,base_gen15_164,0.448548933620873,6.648567513692681,0.551337359792925,0.9082783126476455,0.8549571532041359
16,base_gen16_174,base_gen16_170,0.45433693579614465,6.761719159504012,0.5439367311072056,0.91794514872981,0.8390832895046103
16,base_gen16_176,base_gen14_157,0.44884260296447764,6.7871533122560725,0.5307692307692308,0.9190378954708842,0.8495355700086682
16,base_gen16_177,base_gen16_176,0.44884260296447764,6.7871533122560725,0.5307692307692308,0.9190378954708842,0.8495355700086682
17,base_gen14_154,base_gen14_154,0.44884260296447764,6.7871533122560725,0.5307692307692308,0.9190378954708842,0.8495355700086682
17,base_gen15_163,base_gen15_163,0.44945358430405036,6.745147107823977,0.5467811158798284,0.9162530730468661,0.8635364349166557
17,base_gen16_172,base_gen16_172,0.4493216387264739,6.648567513692681,0.5539130434782609,0.9082783126476457,0.8549571532041359
17,base_gen16_177,base_gen16_177,0.4515419073361746,6.737460886161383,0.5381244522348817,0.9156208735072812,0.8385293254396524
17,base_gen17_180,base_gen16_172,0.4582888444034744,6.682458810399368,0.5470383275261324,0.9258282170759323,0.8436838119616572
17,base_gen17_181,base_gen15_164,0.4541670700565454,6.671491407617207,0.5541012216404887,0.9167938905322959,0.8523012085087458
17,base_gen17_182,base_gen14_154,0.44884260296447764,6.7871533122560725,0.5307692307692308,0.9190378954708842,0.8495355700086682
17,base_gen17_183,base_gen15_164,0.44935267650604016,6.640224515193314,0.5470692717584369,0.9093342974404792,0.8471762687086526
17,base_gen17_185,base_gen17_181,0.45227249545102155,6.691405835473156,0.547886108714409,0.9121447276845789,0.840828505027953
17,base_gen17_189,base_gen16_172,0.4491673658880821,6.58543326346342,0.5535714285714286,0.916300002827943,0.8752703204865899
18,base_gen17_181,base_gen17_181,0.4509450596939248,6.621199130961138,0.5509300265721878,0.9077534501283215,0.8410533667094613
18,base_gen17_182,base_gen17_182,0.4515484127679006,6.765832633878416,0.5486415425065732,0.9197051320441051,0.8644830800306198
18,base_gen17_185,base_gen17_185,0.45394078280767947,6.7970766909897495,0.5361702127659574,0.920433128750434,0.8356342269866239
18,base_gen17_189,base_gen17_189,0.4506667257390516,6.664779892570434,0.5408426483233018,0.9134280412758956,0.8415004469794337
18,base_gen18_190,base_gen14_154,0.44884260296447764,6.7871533122560725,0.5307692307692308,0.9190378954708842,0.8495355700086682
18,base_gen18_191,base_gen17_181,0.4489916609955601,6.667435399547055,0.5421052631578948,0.9115906715798443,0.8471762687086526
18,base_gen18_195,base_gen18_190,0.4486223923546532,6.682848852224151,0.543459174714662,0.9177289997715454,0.8663992997275903
18,base_gen18_196,base_gen18_190,0.44884260296447764,6.7871533122560725,0.5307692307692308,0.9190378954708842,0.8495355700086682
18,base_gen18_197,base_gen18_191,0.4485792555649365,6.621771839910515,0.5508399646330681,0.9122371240463303,0.8639564792407454
18,base_gen18_199,base_gen18_192,0.4496008926405749,6.683542362433247,0.5488986784140969,0.9177860695528173,0.8698087283003141
19,base_gen17_182,base_gen17_182,0.45377555021632354,6.688118569596982,0.556049822064057,0.9267066348869231,0.8819635692317758
19,base_gen18_191,base_gen18_191,0.45100283964279786,6.731956523742661,0.5336832895888014,0.9148430655895763,0.8326184001431534
19,base_gen18_197,base_gen18_197,0.4532210391278576,6.664495239645492,0.5464813205907906,0.9134045038010342,0.8371280447494834
19,base_gen19_200,base_gen17_189,0.45242846812416915,6.650908463881265,0.5551753635585971,0.9102208756780963,0.846172893912291
19,base_gen19_202,base_gen19_200,0.45467538754660264,6.663693950429661,0.5489849955869374,0.918937277715288,0.847443749935613
19,base_gen19_204,base_gen19_200,0.45554192846086017,6.664435960291614,0.554089709762533,0.9269616019506687,0.8708289272161704
19,base_gen19_205,base_gen18_190,0.44987456241658397,6.642407118592862,0.546160483175151,0.9077363949674752,0.8392089000984944
19,base_gen19_207,base_gen17_185,0.45020694499280767,6.741481503072589,0.5414123801220575,0.903387593224522,0.8195528282803525
19,base_gen19_208,base_gen17_189,0.4517361479790909,6.624487432772437,0.5528384279475983,0.921084370237649,0.8732878276200657
19,base_gen19_209,base_gen19_208,0.4525497414914092,6.693451432747848,0.5502555366269165,0.9213819600689327,0.8660894976556601
20,base_gen18_197,base_gen18_197,0.45199815671271526,6.624487432772437,0.5537117903930131,0.921084370237649,0.8732878276200657
20,base_gen19_200,base_gen19_200,0.45238062407711077,6.7174866994135245,0.5490877497827976,0.9271236838353326,0.8795377138769739
20,base_gen19_208,base_gen19_208,0.4575189973079773,6.6305933967027935,0.5552608311229,0.92240539004118,0.8513097352474134
20,base_gen19_209,base_gen19_209,0.457989206120887,6.6305933967027935,0.5568281938325991,0.92240539004118,0.8513097352474134
20,base_gen20_210,base_gen19_200,0.452694100556018,6.6539459003150165,0.553763440860215,0.9152520164158935,0.8553046995499665
